ID,plot,habitat,site,treatment,spec,species,genus,family,group,height,dweight,fweight,leafa,LDMC,SLA,wN,d15N,wC,d13C,CN_ratio
3,D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.225,0.0327,0.07465,3.2776816705,0.44150692790535995,99.91123450331085,0.91,-7.4,53.43,-28.75,58.71428571
4,D1SF,meadow,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.6499999999999995,0.0531,0.1288,5.70409697875,0.40960237256640897,108.93286302231529,1.9,-5.08,49.85,-29.55,26.23684211
5,D1SF,meadow,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,16.725,0.032225,0.075125,4.057227531,0.43599662407134304,125.24074744591935,1.86,-3.89,51.23,-30.95,27.54301075
6,D1SF,meadow,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.675,0.026575,0.0654,3.090553819,0.416106520133591,117.85536373056954,1.14,-5.84,53,-28.81,46.49122807
46,E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,18.775000000000002,0.045200000000000004,0.109,5.041629433,0.4164973803662577,112.51046195134305,2.21,-2.84,51.57,-29.14,23.33484163
47,E3SF,heath,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.35,0.03025,0.076525,3.82337041775,0.3947277352948827,127.69731405611213,2.02,-4.43,51.01,-29.74,25.25247525
48,E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.675,0.047825,0.1051,4.74180938725,0.4547234296722795,99.36431147853703,0.84,-6.53,52.37,-27.99,62.3452381
55,X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,1.5999999999999999,0.032775,0.0805,NA,0.4108792735552298,NA,1.91,-2.27,50.95,-29.81,26.67539267
56,X5C,ridge,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.75,0.021075,0.052375,NA,0.40047931323204267,NA,1.59,-5.91,50.77,-30.47,31.93081761
57,X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.0999999999999996,0.057475,0.11795,4.77083255525,0.488084104384619,81.39916104639101,0.74,-6.57,53.06,-28.22,71.7027027
79,X4C,ridge,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.7,0.013025,0.032075,1.61171274425,0.3952526270444968,133.79217757582884,1.39,-3.74,49.59,-29.75,35.67625899
80,X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,4.475,0.043475,0.09920000000000001,4.4532304485,0.4419209025288813,102.17638127294406,1.75,-2.36,49.44,-29.48,28.25142857
81,X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.65,0.02945,0.06105,2.5713972765,0.47516194218808866,88.486532250173,0.73,-5.67,52.56,-28.38,72
82,X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.65,0.0304,0.0732,3.76091554275,0.4143537608176994,125.62593303580685,1.95,-2.77,51.57,-29.6,26.44615385
83,X4SF,ridge,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.775,0.02595,0.06620000000000001,2.963779879,0.4011727060501318,115.09486158041402,1.65,-5.56,51.39,-30.64,31.14545455
84,X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.6,0.041675,0.086075,3.9367214817500003,0.4781990846516309,95.64919431502084,0.71,-6.29,52.86,-28.45,74.45070423
28,D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,17.025,0.051775,0.132875,6.43134471775,0.39108458490804465,124.09151733669789,2.66,-0.45,50.65,-28.93,19.04135338
29,D5SF,meadow,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.375,0.04875,0.12662500000000002,5.291776997,0.38031168102170815,114.61159691765755,2.13,-2.34,50.95,-29.63,23.92018779
30,D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.95,0.0518,0.14015,6.6262099735,0.37084894451780687,126.22033785920189,1.23,-2.36,53.33,-28.36,43.35772358
19,D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.025,0.026375,0.062225,3.29440212075,0.4223812361632177,126.0584452846407,1.88,-2.91,50.64,-30.35,26.93617021
20,D4C,meadow,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.625,0.020475,0.05725,2.61540702725,0.35824343367532485,128.5298747995056,2,-5.35,51.23,-29.85,25.615
21,D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.02875,0.061649999999999996,2.67043836875,0.4682369741180383,95.36736387837564,0.8,-6.78,53.16,-28.97,66.45
16,D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,7.325,0.03065,0.0706,3.3906609605,0.43469390023751714,111.37508436516974,1.84,-3.12,49.66,-29.7,26.98913043
17,D3SF,meadow,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.325,0.032175,0.07642499999999999,3.39769497875,0.41932473452501684,105.9940094378941,1.78,-3.93,50.51,-29.39,28.37640449
18,D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.225,0.030750000000000003,0.0729,2.889281802,0.4207643013515253,97.27411941726497,0.98,-7.83,52.17,-28.61,53.23469388
7,D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,5.975,0.029825,0.065775,3.44560697975,0.4568572882182334,116.1132673905886,1.81,-4.01,51.01,-29.56,28.18232044
8,D2C,meadow,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.8,0.02465,0.060675,3.1767588075,0.40328195122573146,129.5095910029591,1.94,-6,49.74,-30.46,25.63917526
9,D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.3,0.02975,0.059925,2.60493640325,0.4959472465346442,88.06638462055648,0.85,-4.74,53.64,-28.72,63.10588235
52,E4SF,heath,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.925000000000001,0.0443,0.116325,5.53847005225,0.38881472853402704,124.28604904507057,1.98,-4.94,50.43,-29.91,25.46969697
53,E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,15.425,0.02975,0.075225,4.2932843165,0.39819284148843703,144.76231784104274,1.7,-6.15,48.92,-31.38,28.77647059
54,E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.625,0.0315,0.0785,3.56257352,0.40418111088335884,116.94296625810873,1,-6.13,51.65,-28.12,51.65
49,E4C,heath,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.475,0.0315,0.08265,4.04967399725,0.37296596488217887,148.85214648819073,1.57,-6.41,49.81,-30.32,31.72611465
50,E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,11.799999999999999,0.037475,0.087225,4.429888237,0.42738218585853227,121.31248659523558,1.62,-8.72,49.93,-30.69,30.82098765
51,E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.325,0.038775000000000004,0.086975,3.36630149325,0.44566708449024256,87.02430631864115,0.93,-6.91,52.43,-27.17,56.37634409
76,X3SF,ridge,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.375,0.02415,0.054325,3.01791493175,0.44554300673678204,125.56197423388147,1.13,-5.46,50.09,-31.03,44.32743363
77,X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,2.75,0.02865,0.065675,3.8185362337499997,0.4374866222588568,133.89370885863588,1.92,-3.49,50.73,-30.96,26.421875
78,X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.575,0.033675,0.0728,3.3341420415,0.4655734449407788,101.63234701884913,0.65,-7.31,51.89,-28.54,79.83076923
73,X3C,ridge,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.375,0.013125000000000001,0.032225000000000004,1.637725273,0.4056940267335004,124.75492651977741,1.45,-5.3,49.56,-30.29,34.17931034
74,X3C,ridge,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,4.233333333333333,0.0451,0.09866666666666667,5.531709581666666,0.45651387625930007,122.79756138283389,1.95,-3.39,50.72,-30.43,26.01025641
75,X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.8,0.041725,0.08802499999999999,3.9692709325,0.47170724604199565,99.54657324393496,0.73,-6.56,51.64,-28.79,70.73972603
58,E5SF,heath,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.575,0.034925,0.09525,NA,0.36769077195139344,NA,1.88,-5.48,49.18,-30.1,26.15957447
59,E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,12.9,0.044025,0.108375,6.32724541,0.42184674904277664,139.52570019940097,1.91,-6.63,48.82,-31.7,25.56020942
60,E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.425,0.06085,0.132425,5.66708560125,0.4602042292954263,92.81384200600853,0.9,-6.9,51.75,-26.79,57.5
85,E5C,heath,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.5249999999999995,0.014175,0.036975,1.7659596937500002,0.3769105145401875,131.6042887197871,1.68,-7.05,50.45,-30.01,30.0297619
86,E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,9.075000000000001,0.041,0.09922500000000001,4.5710705352500005,0.41397014071684424,112.65448219266112,1.69,-2.28,50.06,-29.16,29.62130178
87,E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.45,0.045175,0.09185,3.69319148475,0.4921649443092839,81.8735301484372,0.65,-9.16,52.17,-27.77,80.26153846
25,D5C,meadow,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.225,0.02575,0.0672,3.37213470725,0.3769620401454244,138.87478919144604,2.09,-2.71,51.33,-29.98,24.55980861
26,D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,20.1,0.0369,0.084175,4.20785900375,0.44289715013673087,113.12752761288826,2.02,-2.54,51.26,-29.83,25.37623762
27,D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.225,0.0538,0.11345,4.75657209975,0.4741893778585915,88.10654134750622,0.92,-4.8,54.26,-28.46,58.97826087
22,D4SF,meadow,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.875,0.0294,0.094775,4.59010727125,0.30961352737077735,156.88287065088537,2.4,-6.3,49.18,-30.33,20.49166667
23,D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.55,0.041575,0.113275,4.79072074075,0.3792938173813568,123.97101351560211,2.52,-3.84,49.56,-30.5,19.66666667
24,D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.875,0.0377,0.0924,3.8794635315,0.40372317709686595,104.88768051865257,1.21,-7.58,51.59,-27.77,42.63636364
13,D3C,meadow,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.625,0.022425,0.05935,2.8516518775,0.36215907186288837,132.66147097384845,1.73,-6.44,49.88,-29.96,28.83236994
14,D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,8.325,0.020675,0.047,2.78130282425,0.43985984187706073,135.09365075352628,1.81,-4.68,51.04,-30.79,28.19889503
15,D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.35,0.03185,0.07350000000000001,2.9291563995,0.43440518533770645,92.24556641817175,0.88,-8.85,53.33,-27.5,60.60227273
10,D2SF,meadow,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.375,0.0319,0.0754,3.5107813657499998,0.4277013784933673,113.18726743075439,1.93,-4.41,51.65,-29.72,26.76165803
11,D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.075,0.027549999999999998,0.0634,3.5436577515,0.44058922978939014,127.92858186246428,1.82,-5.05,48.72,-30.33,26.76923077
12,D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.3,0.02515,0.05805,2.50443515225,0.43549402820279454,98.40693034063646,1.04,-5.75,53.78,-27.58,51.71153846
43,E3C,heath,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.775,0.0238,0.060075,3.1069473345,0.40004635408723355,128.87567417008103,1.7,-4.83,49.52,-30.47,29.12941176
44,E3C,heath,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,16.3,0.037375,0.0837,4.25452987825,0.4464587917627867,119.76856867629479,1.53,-1.79,47.71,-30.36,31.18300654
45,E3C,heath,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.4,0.027875,0.059475,2.42737853225,0.4616905504156711,88.99975543118454,0.84,-7.45,53.89,-27.43,64.1547619
88,X5SF,ridge,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.7,0.028900000000000002,0.066125,3.2825247255,0.4346324034166382,114.32916213470155,1.35,-6.01,51.02,-30.43,37.79259259
89,X5SF,ridge,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.325,0.0246,0.05325,2.8560650945,0.4637786369020871,115.54769936381808,1.51,-5.79,50.53,-29.5,33.46357616
90,X5SF,ridge,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.2,0.02455,0.048175,1.9726797645,0.517134682416591,80.48826141609636,0.59,-7.18,51.85,-28.67,87.88135593
222,X4C,ridge,4,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2.7,0.0211,0.059,2.547,0.3576271186440678,120.71090047393365,1.75,-3.23,50.66,-30.51,28.94857143
93,X4C,ridge,4,control,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.8666666666666667,0.026266666666666667,0.05233333333333333,NA,0.4992951090841048,NA,0.61,-7.05,54.66,-30.32,89.60655738
154,X4C,ridge,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,1.8,0.04506666666666667,0.11583333333333333,NA,0.38657407303531716,NA,1.31,-1.94,49.45,-29.89,37.7480916
252,X4C,ridge,4,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,3.033333333333333,0.034999999999999996,0.1536,NA,0.2346094101105712,NA,4.93,-0.99,47.1,-29.5,9.553752535
292,X4C,ridge,4,control,Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F,3.1666666666666665,0.033433333333333336,0.1236,4.115,0.27422852233209305,122.75446685320524,1.18,-4,46.31,-28.61,39.24576271
153,X4SF,ridge,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.2,0.061066666666666665,0.14973333333333333,6.0423333333333336,0.4019923752112019,103.08907165988516,1.17,-0.9,48.86,-30.88,41.76068376
NA,X4SF,ridge,4,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,1.5,0.0239,0.0538,0.899,0.4442379182156134,37.61506276150627,NA,NA,NA,NA,NA
267,X4SF,ridge,4,snowfence,Juntri,Juncus trifidus,Juncus,Juncaceae,G,6.9,0.017233333333333333,0.048466666666666665,1.883,0.3559595279254125,109.53428014480646,1.51,3.17,47.12,-28.69,31.20529801
92,X4SF,ridge,4,snowfence,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.9666666666666667,0.02213333333333333,0.0387,0.9556666666666667,0.566040769938174,44.86273192257547,0.64,-6.16,53.9,-29.17,84.21875
266,X3SF,ridge,3,snowfence,Juntri,Juncus trifidus,Juncus,Juncaceae,G,7.566666666666666,0.0387,0.11736666666666666,3.369333333333333,0.32966179868084977,87.14855197613818,1.59,0.4,48.01,-27.66,30.19496855
94,X3SF,ridge,3,snowfence,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.9666666666666667,0.023533333333333333,0.047966666666666664,1.1326666666666667,0.4906463866603915,48.10359549732023,0.68,-6.87,54.79,-29.63,80.57352941
152,E5C,heath,5,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.2666666666666666,0.04676666666666667,0.1144,4.430666666666667,0.4079825161348944,94.70610077534084,1.14,-2.1,47.93,-30.24,42.04385965
166,E5C,heath,5,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,18.5,0.042133333333333335,0.1033,6.282,0.407985210679185,144.03961038961037,1.35,0.64,44.15,-25.21,32.7037037
182,E5C,heath,5,control,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,2.5,0.026666666666666665,0.0535,1.656,0.4880494422755549,67.16715479469568,0.74,-7.63,50.97,-30.81,68.87837838
291,E5SF,heath,5,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,3.5,0.009333333333333334,0.03593333333333333,1.279,0.24377423521390715,156.4573970959483,2.1,-5.09,50.55,-29.73,24.07142857
167,E5SF,heath,5,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,20.03333333333333,0.056966666666666665,0.15043333333333334,9.744666666666667,0.38041644453252277,168.98981855644098,1.37,-0.3,43.98,-27.42,32.10218978
105,E5SF,heath,5,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,9.4,0.050866666666666664,0.1375,6.968666666666667,0.36700339496952455,140.23391825184578,2.35,1.23,46.03,-25.83,19.58723404
272,E5SF,heath,5,snowfence,Equpra,Equisetum pratense,Equisetum,Equisetaceae,F,6.666666666666667,0.08156666666666666,0.3704,9.843,0.22056443592156683,122.59471734946895,2.4,1.64,40.8,-25.72,17
NA,E5SF,heath,5,snowfence,Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F,2.6333333333333333,0.038,0.08566666666666667,2.7866666666666666,0.4261008101274704,76.63328794954238,NA,NA,NA,NA,NA
295,E5SF,heath,5,snowfence,Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F,3.8,0.0645,0.19240000000000002,7.661666666666666,0.33245659674517214,121.67724678315918,1.76,-0.14,47.59,-30.02,27.03977273
199,E5SF,heath,5,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,39.56666666666667,0.2293,0.5982000000000001,22.303333333333335,0.38778369087524966,97.47955182282254,2.13,-1.56,49.92,-29.94,23.43661972
181,E5SF,heath,5,snowfence,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,3.2,0.0245,0.0748,2.6286666666666667,0.31266659338059755,120.18886936423505,1.3,-9.2,50.66,-29.22,38.96923077
NA,E5SF,heath,5,snowfence,Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F,3.4499999999999997,0.0175,0.06915,2.958,0.257169166008945,171.16666666666666,NA,NA,NA,NA,NA
151,E4SF,heath,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,5.333333333333333,0.054599999999999996,0.14683333333333332,6.666666666666667,0.36251838274729586,131.1285102525135,1.55,-0.75,49.57,-30.05,31.98064516
164,E4SF,heath,4,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,9.533333333333333,0.0808,0.3328,9.948333333333334,0.24404160428530167,125.02175921240186,2.14,-3.17,46.93,-28.58,21.92990654
257,E4SF,heath,4,snowfence,Fesovi,Festuca ovina,Festuca,Poaceae,G,9.233333333333334,0.024433333333333335,0.0575,2.405,0.42669626811417927,95.89600716239696,0.93,-2.47,44.26,-30.23,47.59139785
198,E4SF,heath,4,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,40.666666666666664,0.14793333333333333,0.3795,13.799,0.38955282318125195,94.12700863562273,2.14,-1.4,49.68,-29.23,23.21495327
293,E4SF,heath,4,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,18.566666666666666,0.044,0.11296666666666667,6.681333333333333,0.395867492512424,144.0834491533189,1.64,-1.15,41.22,-27.37,25.13414634
288,E4SF,heath,4,snowfence,Equpra,Equisetum pratense,Equisetum,Equisetaceae,F,11.1,0.07103333333333334,0.25426666666666664,7.765666666666667,0.2793690769240885,109.52305443962128,1.55,3.05,40.36,-28.58,26.03870968
106,E4SF,heath,4,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,14.833333333333334,0.07473333333333333,0.20363333333333333,10.591666666666667,0.36367386528968165,149.22404330697958,2.41,0.54,45.91,-25.72,19.04979253
289,E4SF,heath,4,snowfence,Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F,4.7,0.022533333333333332,0.0898,3.650333333333333,0.2504284996508392,162.9802935284383,1.3,-5.18,48.45,-28.2,37.26923077
223,E4SF,heath,4,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,4.2,0.0183,0.0507,2.434,0.3609467455621302,133.00546448087434,1.67,-2.99,50.88,-30.33,30.46706587
95,X5C,ridge,5,control,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.9333333333333333,0.026366666666666667,0.05053333333333333,1.141,0.5202236809225161,43.273569871408895,0.64,-4.45,52.96,-29.75,82.75
224,X5C,ridge,5,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2.566666666666667,0.0297,0.07383333333333333,2.4736666666666665,0.402768123669256,83.8290960934348,1.48,-7.99,49.68,-30.07,33.56756757
NA,X5C,ridge,5,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,1.8666666666666667,0.016933333333333335,0.040433333333333335,0.7466666666666667,0.4244888986276762,47.54943690128875,NA,NA,NA,NA,NA
