plot,habitat,site,treatment,spec,species,genus,family,group,hits,cover
E5SF,heath,5,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,6,1.3605442176870748
E5C,heath,5,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X1SF,ridge,1,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X1C,ridge,1,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X2SF,ridge,2,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X2C,ridge,2,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X3SF,ridge,3,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X3C,ridge,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X4SF,ridge,4,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X4C,ridge,4,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X5SF,ridge,5,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
X5C,ridge,5,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
D1SF,meadow,1,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,8,1.8140589569160999
D1C,meadow,1,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
D2SF,meadow,2,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,5,1.1337868480725624
D2C,meadow,2,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
D3SF,meadow,3,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
D3C,meadow,3,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
D4SF,meadow,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,2,0.45351473922902497
D4C,meadow,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3,0.6802721088435374
D5SF,meadow,5,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,1,0.22675736961451248
D5C,meadow,5,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,5,1.1337868480725624
E1SF,heath,1,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3,0.6802721088435374
E1C,heath,1,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,36,8.16326530612245
E2SF,heath,2,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,9,2.0408163265306123
E2C,heath,2,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,14,3.1746031746031744
E3SF,heath,3,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,8,1.8140589569160999
E3C,heath,3,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
E4SF,heath,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,30,6.802721088435375
E4C,heath,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,23,5.215419501133787
E5SF,heath,5,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
E5C,heath,5,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,6,1.3605442176870748
X1SF,ridge,1,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X1C,ridge,1,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,2,0.45351473922902497
X2SF,ridge,2,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X2C,ridge,2,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X3SF,ridge,3,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X3C,ridge,3,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X4SF,ridge,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,5,1.1337868480725624
X4C,ridge,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,2,0.45351473922902497
X5SF,ridge,5,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
X5C,ridge,5,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,0,0
D1SF,meadow,1,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D1C,meadow,1,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D2SF,meadow,2,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D2C,meadow,2,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D3SF,meadow,3,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D3C,meadow,3,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D4SF,meadow,4,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D4C,meadow,4,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D5SF,meadow,5,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,42,9.523809523809524
D5C,meadow,5,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,5,1.1337868480725624
E1SF,heath,1,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,32,7.2562358276643995
E1C,heath,1,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,3,0.6802721088435374
E2SF,heath,2,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
E2C,heath,2,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
E3SF,heath,3,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
E3C,heath,3,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
E4SF,heath,4,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,16,3.6281179138321997
E4C,heath,4,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,86,19.501133786848072
E5SF,heath,5,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
E5C,heath,5,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X1SF,ridge,1,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X1C,ridge,1,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X2SF,ridge,2,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X2C,ridge,2,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X3SF,ridge,3,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X3C,ridge,3,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X4SF,ridge,4,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X4C,ridge,4,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,1,0.22675736961451248
X5SF,ridge,5,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
X5C,ridge,5,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,0,0
D1SF,meadow,1,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,22,4.988662131519274
D1C,meadow,1,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,15,3.4013605442176873
D2SF,meadow,2,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,9,2.0408163265306123
D2C,meadow,2,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,4,0.9070294784580499
D3SF,meadow,3,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,3,0.6802721088435374
D3C,meadow,3,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,5,1.1337868480725624
D4SF,meadow,4,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,2,0.45351473922902497
D4C,meadow,4,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,3,0.6802721088435374
D5SF,meadow,5,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,10,2.2675736961451247
D5C,meadow,5,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,3,0.6802721088435374
E1SF,heath,1,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E1C,heath,1,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E2SF,heath,2,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E2C,heath,2,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E3SF,heath,3,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E3C,heath,3,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E4SF,heath,4,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E4C,heath,4,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E5SF,heath,5,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
E5C,heath,5,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X1SF,ridge,1,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X1C,ridge,1,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X2SF,ridge,2,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X2C,ridge,2,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X3SF,ridge,3,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X3C,ridge,3,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X4SF,ridge,4,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X4C,ridge,4,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X5SF,ridge,5,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
X5C,ridge,5,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,0,0
D1SF,meadow,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,61,13.83219954648526
D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,67,15.192743764172336
D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,46,10.430839002267573
D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,38,8.616780045351474
D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,28,6.349206349206349
D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,23,5.215419501133787
D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5,1.1337868480725624
D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,48,10.884353741496598
D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,89,20.181405895691608
D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,33,7.482993197278912
E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,203,46.03174603174603
E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,66,14.965986394557824
E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,119,26.984126984126984
E2C,heath,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,68,15.419501133786847
E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,125,28.34467120181406
E3C,heath,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,45,10.204081632653061
E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,213,48.29931972789115
E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,78,17.687074829931973
E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,62,14.058956916099774
E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,90,20.408163265306122
X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,95,21.541950113378686
X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,30,6.802721088435375
X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,41,9.297052154195011
X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,5,1.1337868480725624
X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,35,7.936507936507936
X3C,ridge,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,10,2.2675736961451247
X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,49,11.11111111111111
X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,28,6.349206349206349
X5SF,ridge,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,34,7.709750566893423
X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,3,0.6802721088435374
D1SF,meadow,1,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,1,0.22675736961451248
D1C,meadow,1,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D2SF,meadow,2,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D2C,meadow,2,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D3SF,meadow,3,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D3C,meadow,3,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D4SF,meadow,4,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,2,0.45351473922902497
D4C,meadow,4,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D5SF,meadow,5,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D5C,meadow,5,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E1SF,heath,1,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,3,0.6802721088435374
E1C,heath,1,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E2SF,heath,2,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E2C,heath,2,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E3SF,heath,3,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E3C,heath,3,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E4SF,heath,4,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E4C,heath,4,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E5SF,heath,5,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
E5C,heath,5,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X1SF,ridge,1,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X1C,ridge,1,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X2SF,ridge,2,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X2C,ridge,2,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X3SF,ridge,3,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X3C,ridge,3,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X4SF,ridge,4,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X4C,ridge,4,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X5SF,ridge,5,snowfence,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
X5C,ridge,5,control,Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS,0,0
D1SF,meadow,1,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,4,0.9070294784580499
D1C,meadow,1,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,13,2.947845804988662
D2SF,meadow,2,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,14,3.1746031746031744
D2C,meadow,2,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,12,2.7210884353741496
D3SF,meadow,3,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,28,6.349206349206349
D3C,meadow,3,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,8,1.8140589569160999
D4SF,meadow,4,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,3,0.6802721088435374
D4C,meadow,4,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,32,7.2562358276643995
D5SF,meadow,5,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,67,15.192743764172336
D5C,meadow,5,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,63,14.285714285714285
E1SF,heath,1,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E1C,heath,1,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,2,0.45351473922902497
E2SF,heath,2,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E2C,heath,2,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E3SF,heath,3,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E3C,heath,3,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E4SF,heath,4,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,6,1.3605442176870748
E4C,heath,4,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,2,0.45351473922902497
E5SF,heath,5,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
E5C,heath,5,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X1SF,ridge,1,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X1C,ridge,1,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X2SF,ridge,2,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X2C,ridge,2,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X3SF,ridge,3,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X3C,ridge,3,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X4SF,ridge,4,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X4C,ridge,4,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X5SF,ridge,5,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
X5C,ridge,5,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,0,0
D1SF,meadow,1,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D1C,meadow,1,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D2SF,meadow,2,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D2C,meadow,2,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D3SF,meadow,3,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D3C,meadow,3,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D4SF,meadow,4,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D4C,meadow,4,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D5SF,meadow,5,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D5C,meadow,5,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
E1SF,heath,1,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,9,2.0408163265306123
E1C,heath,1,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,2,0.45351473922902497
E2SF,heath,2,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,29,6.575963718820861
E2C,heath,2,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,48,10.884353741496598
E3SF,heath,3,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,33,7.482993197278912
E3C,heath,3,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,11,2.494331065759637
E4SF,heath,4,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,143,32.426303854875286
E4C,heath,4,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,18,4.081632653061225
E5SF,heath,5,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,34,7.709750566893423
E5C,heath,5,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,95,21.541950113378686
X1SF,ridge,1,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X1C,ridge,1,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X2SF,ridge,2,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X2C,ridge,2,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X3SF,ridge,3,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X3C,ridge,3,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X4SF,ridge,4,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X4C,ridge,4,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X5SF,ridge,5,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
X5C,ridge,5,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,0,0
D1SF,meadow,1,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,4,0.9070294784580499
D1C,meadow,1,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
D2SF,meadow,2,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,1,0.22675736961451248
D2C,meadow,2,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
D3SF,meadow,3,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,11,2.494331065759637
D3C,meadow,3,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,9,2.0408163265306123
D4SF,meadow,4,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,3,0.6802721088435374
D4C,meadow,4,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,1,0.22675736961451248
D5SF,meadow,5,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
D5C,meadow,5,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E1SF,heath,1,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E1C,heath,1,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E2SF,heath,2,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E2C,heath,2,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E3SF,heath,3,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E3C,heath,3,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E4SF,heath,4,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E4C,heath,4,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E5SF,heath,5,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
E5C,heath,5,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X1SF,ridge,1,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X1C,ridge,1,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X2SF,ridge,2,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X2C,ridge,2,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X3SF,ridge,3,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X3C,ridge,3,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X4SF,ridge,4,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X4C,ridge,4,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X5SF,ridge,5,snowfence,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
X5C,ridge,5,control,Carsp.,Carex sp.,Carex,Cyperaceae,G,0,0
D1SF,meadow,1,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,35,7.936507936507936
D1C,meadow,1,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,91,20.634920634920633
