code,plot,habitat,site,treatment,spec,species,genus,family,group,trait,trait_value
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.5012787723785166
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,91.14346484693878
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.7
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0697
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0379
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.038004892
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.5437589670014348
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,80.15844042216358
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.8
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0661
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0319
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.977198562
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.48260211800302566
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,93.32910852664577
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,12
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0495
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0231
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.681625604
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4666666666666666
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,116.0876884848485
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,4.8
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0558
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0265
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.716499728
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.47491039426523296
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,102.50942369811321
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,5
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0296
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0135
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,1.569602667
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.45608108108108103
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,116.26686422222222
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,3.3
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0543
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0234
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.874384574
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.430939226519337
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,122.8369476068376
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,2.7
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0642
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0243
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,3.240101262
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3785046728971963
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,133.33750049382718
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.2
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0259
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0104
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,1.245122671
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4015444015444015
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,119.72333375000001
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,2.4
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0364
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0153
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,1.7516094
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4203296703296703
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,114.48427450980392
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.3
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0743
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0316
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.812180827
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4253028263795424
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,88.99306414556962
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,3.4
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0903
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0429
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.6725733
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4750830564784053
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,85.60776923076922
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,4.5
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0935
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0382
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.977213981
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4085561497326203
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,104.1155492408377
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,4.7
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0602
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0271
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.603041246
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.45016611295681064
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,96.0531825092251
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,3.6
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.069
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0304
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.10289702
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.44057971014492747
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,102.06898092105263
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,10.3
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0731
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0302
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.65837978
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4131326949384405
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,121.13840331125829
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,10.4
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0869
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0373
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.790189194
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.429228998849252
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,101.61365131367292
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,10.7
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0711
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0301
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.361265536
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.42334739803094235
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,111.66995136212626
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,9.8
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0918
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0359
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,4.29370109
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.39106753812636164
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,119.60170167130919
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,5.9
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0441
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0159
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.211877512
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.36054421768707484
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,139.11179320754715
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,9.2
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0577
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0222
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.733955177
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.38474870017331025
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,123.1511340990991
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,7.8
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0655
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0243
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.606338658
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3709923664122137
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,107.25673489711934
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,9.7
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0628
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0233
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.841553672
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3710191082802548
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,121.9550932188841
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,3
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0481
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0193
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.215927181
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4012474012474013
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,114.81487984455958
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,7.9
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0476
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.019
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.287468328
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3991596638655462
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,120.39306989473685
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,7.3
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0548
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0203
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.552127154
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3704379562043795
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,125.72054945812808
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,9.1
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.1005
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0373
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,4.43918467
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.37114427860696514
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,119.01299383378017
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,6
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0613
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.03
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.34418886
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4893964110929853
