code,plot,habitat,site,treatment,spec,species,genus,family,group,height,fweight,dweight,leafa,LDMC,SLA
X1C1,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.8,0.0567,0.0234,2.478884074,0.41269841269841273,105.93521683760684
X1C2,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.5,0.054,0.0214,2.764743503,0.39629629629629626,129.19362163551403
X1C3,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.1179,0.0548,4.55063606,0.46480067854113655,83.04080401459855
X1C4,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.7,0.0684,0.0345,2.95580054,0.5043859649122807,85.67537797101448
X1C7,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.6,0.0977,0.038,5.30918293,0.3889457523029683,139.7153402631579
X1C8,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,5.7,0.0649,0.0292,3.231642569,0.44992295839753466,110.67269071917808
E2SF1,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.8,0.1196,0.041,4.880921851,0.342809364548495,119.04687441463415
E2SF2,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.2,0.0665,0.025,2.562432294,0.37593984962406013,102.49729176
E2SF5,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.1197,0.053,4.822858096,0.4427736006683375,90.99732256603774
E2SF6,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.4,0.0757,0.0308,3.427000243,0.40686922060766184,111.26624165584415
E2SF7,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,19.6,0.0957,0.041,4.303557844,0.42842215256008365,104.96482546341464
E2SF8,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,17.3,0.0815,0.0345,4.444256273,0.4233128834355828,128.81902240579709
E2C1,E2C,heath,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.3,0.0724,0.0313,3.924956021,0.43232044198895025,125.397955942492
E2C2,E2C,heath,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.6,0.0518,0.0205,2.320066973,0.3957528957528958,113.17399868292682
E2C5,E2C,heath,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.3,0.0502,0.0243,2.799151821,0.4840637450199203,115.19143296296298
E2C6,E2C,heath,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,8.7,0.0474,0.0214,2.429080948,0.45147679324894513,113.5084555140187
E2C7,E2C,heath,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.4,0.0779,0.0372,3.05434873,0.47753530166880614,82.10614865591398
E2C8,E2C,heath,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.1,0.1101,0.0498,3.933916648,0.4523160762942779,78.99431020080321
D1C1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.7,0.1298,0.0505,4.562463778,0.389060092449923,90.3458173861386
D1C2,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.2,0.0756,0.0313,3.101104766,0.414021164021164,99.07682958466454
D1C3,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.6,0.05222,0.0187,2.570944536,0.358100344695519,137.48366502673795
D1C4,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,5.8,0.048,0.0216,2.827987247,0.45,130.92533550925924
D1C7,D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.6,0.0691,0.0314,2.969653416,0.4544138929088278,94.57494955414013
D1C8,D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.2,0.0604,0.0289,2.661858547,0.4784768211920529,92.10583207612457
D1SF1,D1SF,meadow,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.6,0.0836,0.0328,3.841336188,0.39234449760765555,117.1139081707317
D1SF2,D1SF,meadow,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.6,0.1215,0.0485,5.416404651,0.3991769547325103,111.67844641237113
D1SF3,D1SF,meadow,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.3,0.166,0.0687,7.04063108,0.41385542168674694,102.48371295487628
D1SF4,D1SF,meadow,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,12.2,0.0981,0.0402,5.181907056,0.4097859327217125,128.90316059701493
D1SF5,D1SF,meadow,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,18.4,0.0617,0.0298,3.379868079,0.4829821717990276,113.41839191275167
D1SF6,D1SF,meadow,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,10.3,0.083,0.0321,4.454901413,0.3867469879518072,138.78197548286605
D1SF7,D1SF,meadow,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.0455,0.0202,2.296572181,0.44395604395604393,113.69169212871289
D1SF8,D1SF,meadow,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.9,0.0516,0.0234,2.518579479,0.4534883720930233,107.63160166666667
D1SF9,D1SF,meadow,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5,0.1243,0.0471,5.450938776,0.3789219629927595,115.73118420382166
E3SF1,E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,18.6,0.1109,0.0446,5.099147221,0.40216411181244366,114.3306551793722
E3SF2,E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,14.8,0.0853,0.0343,3.997124264,0.4021101992966002,116.53423510204082
E3SF3,E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,19.1,0.1648,0.0684,7.306096356,0.41504854368932037,106.81427421052632
E3SF4,E3SF,heath,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,22.6,0.075,0.0335,3.764149891,0.4466666666666667,112.36268331343284
E3SF5,E3SF,heath,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.6,0.0756,0.0295,3.66999266,0.3902116402116402,124.40653084745763
E3SF6,E3SF,heath,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,11.3,0.072,0.0297,3.620530178,0.41250000000000003,121.903372996633
E3SF7,E3SF,heath,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,10,0.0736,0.0267,4.069418313,0.3627717391304348,152.4126708988764
E3SF8,E3SF,heath,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.5,0.0849,0.0351,3.93354052,0.4134275618374558,112.0666814814815
E3SF9,E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10.4,0.0875,0.0408,3.85466971,0.46628571428571436,94.4771987745098
E3SF10,E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10,0.1112,0.0489,5.297462308,0.43974820143884896,108.33256253578732
E3SF11,E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.9,0.101,0.044,4.51837806,0.4356435643564356,102.69041045454546
E3SF12,E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6.4,0.1207,0.0576,5.296727471,0.4772162386081193,91.957074149305555
D1Ca,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,11,0.0515,0.0227,2.485174384,0.44077669902912625,109.47904775330396
D1Cb,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,5.7,0.0606,0.0268,3.193505871,0.44224422442244227,119.16066682835822
D1Cc,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.2,0.0714,0.029,2.99467143,0.4061624649859944,103.26453206896551
D1Cd,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.2,0.0742,0.0335,3.105764111,0.45148247978436656,92.70937644776119
D1Ce,D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.5,0.0888,0.0376,3.781551792,0.42342342342342343,100.57318595744681
D1Cf,D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.6,0.0803,0.0329,3.697662927,0.40971357409713577,112.39097042553192
E2SFa,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,11.9,0.0861,0.0372,3.715727407,0.43205574912891986,99.88514534946238
E2SFb,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,12.3,0.0982,0.0303,4.880061853,0.3085539714867617,161.05814696369637
E2SFc,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.8,0.0585,0.0213,2.470515059,0.3641025641025641,115.98662248826291
E2SFd,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.6,0.0692,0.0251,2.616410251,0.3627167630057804,104.23945223107569
E2SFe,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.3,0.1051,0.0468,4.302482363,0.4452901998097051,91.93338382478633
E2SFf,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.5,0.0951,0.0424,4.140923331,0.4458464773922187,97.66328610849057
X1Ca,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.2,0.04879,0.0232,2.693937193,0.47550727608116417,116.11798245689656
X1Cb,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,9.5,0.067,0.0282,2.772718326,0.42089552238805966,98.32334489361703
X1Cc,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.9,0.0419,0.0165,2.168687276,0.3937947494033413,131.43559248484848
X1Cd,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.9,0.0455,0.0189,2.20951171,0.4153846153846154,116.90538148148148
X1Ce,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.6,0.1013,0.0458,4.08563699,0.4521224086870681,89.2060478165939
X1Cf,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.2,0.0923,0.0422,3.780189859,0.45720476706392205,89.57795874407583
X5C1,X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.3,0.053,0.0232,NA,0.43773584905660373,NA
X5C2,X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,0.1,0.0945,0.0353,4.648557154,0.3735449735449735,131.68717150141643
X5C3,X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,1.9,0.0861,0.0363,3.696891961,0.421602787456446,101.84275374655648
X5C4,X5C,ridge,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.1,0.0884,0.0363,4.056945434,0.4106334841628959,111.76158220385676
X5C5,X5C,ridge,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.9,0.0664,0.0269,NA,0.40512048192771083,NA
X5C6,X5C,ridge,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.8,0.0663,0.0268,3.162914964,0.4042232277526395,118.01921507462686
X5C7,X5C,ridge,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,0.6,0.0321,0.0123,1.50612602,0.383177570093458,122.44926991869919
X5C8,X5C,ridge,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.7,0.0447,0.0183,2.268561914,0.40939597315436244,123.96513191256831
X5C9,X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.9,0.0851,0.0408,3.214957441,0.47943595769682734,78.79797649509804
X5C10,X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.1488,0.0752,6.254485556,0.5053763440860216,83.1713504787234
X5C11,X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2,0.1555,0.0727,6.629413193,0.467524115755627,91.1886271389271
X5C12,X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.9,0.0824,0.0412,2.984474031,0.5,72.43869007281553
X4C1,X4C,ridge,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.6,0.015,0.005,0.91435301,0.33333333333333337,182.870602
X4C2,X4C,ridge,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.4,0.0359,0.0152,1.791501578,0.4233983286908078,117.86194592105264
X4C3,X4C,ridge,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.9,0.039,0.0161,1.980569587,0.4128205128205128,123.01674453416149
X4C4,X4C,ridge,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.9,0.0384,0.0158,1.760426802,0.4114583333333334,111.41941784810126
X4C5,X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,5.2,0.0722,0.033,3.255101232,0.45706371191135736,98.63943127272726
X4C6,X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,4.8,0.0936,0.0425,4.224418003,0.45405982905982906,99.39807065882353
X4C7,X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,3.8,0.0975,0.0432,4.66370035,0.4430769230769231,107.95602662037037
X4C8,X4C,ridge,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,4.1,0.1335,0.0552,5.669702209,0.4134831460674157,102.71199653985508
X4C9,X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4,0.0346,0.0158,1.426699727,0.4566473988439307,90.29745107594935
X4C10,X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,0.1,0.0925,0.047,3.9370889,0.5081081081081081,83.76784893617021
X4C11,X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.6,0.0615,0.0309,2.665908862,0.5024390243902439,86.27536770226538
X4C12,X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.9,0.0556,0.0241,2.255891617,0.43345323741007197,93.60546128630706
X4SF1,X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6.3,0.0803,0.0358,3.990028149,0.44582814445828145,111.45330025139666
X4SF2,X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.8,0.0826,0.0319,4.025171304,0.3861985472154963,126.18091862068965
X4SF3,X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.6,0.0697,0.0309,3.662877836,0.4433285509325682,118.53973579288025
X4SF4,X4SF,ridge,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6.9,0.0602,0.023,3.365584882,0.38205980066445183,146.32977747826087
X4SF5,X4SF,ridge,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.2,0.0577,0.0218,2.814098243,0.3778162911611785,129.08707536697247
X4SF6,X4SF,ridge,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.7,0.1126,0.0421,4.505277441,0.37388987566607457,107.01371593824227
X4SF7,X4SF,ridge,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.8,0.0362,0.0161,1.67709342,0.4447513812154696,104.16729316770187
X4SF8,X4SF,ridge,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.4,0.0583,0.0238,2.858650412,0.4082332761578045,120.11136184873948
X4SF9,X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3,0.084,0.041,3.912357982,0.4880952380952381,95.42336541463415
X4SF10,X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.8,0.0594,0.0274,2.820227263,0.4612794612794613,102.92800229927008
X4SF11,X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.2,0.0729,0.0331,3.091911236,0.45404663923182437,93.41121558912387
X4SF12,X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.128,0.0652,5.922389446,0.5093749999999999,90.83419395705523
D5SF1,D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,2.6,0.1125,0.0434,5.127140068,0.3857777777777778,118.13686792626729
D5SF2,D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,19.5,0.1628,0.0595,7.573622917,0.36547911547911544,127.28778011764706
D5SF3,D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,30,0.1296,0.0546,6.310901572,0.42129629629629634,115.58427787545786
D5SF4,D5SF,meadow,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,16,0.1266,0.0496,6.713714314,0.39178515007898895,135.35714342741935
D5SF5,D5SF,meadow,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.1,0.0699,0.0277,3.192449099,0.396280400572246,115.25087
D5SF6,D5SF,meadow,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7,0.1076,0.0371,5.104236888,0.3447955390334573,137.5805091105121
D5SF7,D5SF,meadow,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.7,0.2146,0.0877,8.01675816,0.4086672879776328,91.41115347776511
