ID,plot,habitat,site,treatment,spec,species,genus,family,group,trait,trait_value
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.59843125475
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.37182609813821343
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,122.86868885566243
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.89
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-4.67
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.38
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-29.69
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,26.65608466
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,6.825
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.023975
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.06275
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.8736768332500002
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.38549732498107303
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,119.98537325780117
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.72
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-4.02
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,49.63
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-29.69
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,28.85465116
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,6.15
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0641
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.14165
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,5.37580021625
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4574504563495009
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,84.31954656338188
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.86
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-4.06
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,54.57
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-27.53
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,63.45348837
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,23.125
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.037125
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.08835
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,4.10749630125
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.42124189818214103
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,111.1943139254291
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.84
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-6.44
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wC,49.94
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-29.98
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,27.14130435
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,3.25
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0182
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.04725
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.49625839475
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3763483049278263
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,143.93260197187067
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.83
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-1.72
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.25
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-29.47
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,27.45901639
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,5.025
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.042975
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.086225
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.3059208074999997
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4955201739794393
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,77.18854044099206
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.72
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-4.13
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,53.01
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-27.67
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,73.625
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,14.05
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.040625
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0937
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,4.85840415425
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4361162485655122
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,119.35835422925845
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.98
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-2.46
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wC,50.03
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-30.42
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,25.26767677
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,2.775
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.02005
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.049525
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.40545664075
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.40454351844566644
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,120.86745310986271
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.79
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-4.21
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.38
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-30.24
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,28.1452514
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.775
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.044325
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.094975
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.84306586225
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4696284548011018
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,86.87504713657069
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.74
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-5.63
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,51.34
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-28.67
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,69.37837838
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,8
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.02965
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0695975
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.5018702545
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4338178772924317
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,116.20733958321239
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.99
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,1.65
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,wC,49.82
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-30.23
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,25.03517588
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,9.1
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0281
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.07845
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,3.13256986375
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3613921353202249
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,110.44256022349319
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.88
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-3.26
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.67
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-30.35
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,26.95212766
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,7.9
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.04325
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0989
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,4.17331600825
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4351948746194808
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,97.96505853878969
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.96
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-7.8
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,52.45
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-27.82
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,54.63541667
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,15.275
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.035750000000000004
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.090375
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,4.33590084425
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.398086189152837
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,123.68178504559262
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.9
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-2.65
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wC,50.55
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-29.46
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,26.60526316
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,5.325
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.036075
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.08775
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,3.44100102125
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.41518155031036197
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,96.34913887188246
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.7
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-5.44
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.98
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-29.41
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,29.98823529
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,7.275
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.02245
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.05308
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.7694030095
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4227803170367719
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,124.26217877941484
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.7
