code,Plot,habitat,site,treatment,species,height,fweight,dweight,bulknr,leafa,comment
56,E5SF,E,5,SF,Rubcha,3.9,0.273,0.0949,1,10.51,
57,E5SF,E,5,SF,Sallap,74,0.8004,0.289,3,27.859,
58,E5SF,E,5,SF,Sallap,3.2,0.4711,0.1882,3,18.86,
59,E5SF,E,5,SF,Sallap,41.5,0.5231,0.2107,3,20.191,
60,E5SF,E,5,SF,Vacvit,3.1,0.1123,0.0385,4,3.718,
61,E5SF,E,5,SF,Vacvit,4.5,0.0752,0.0256,3,2.665,
62,E5SF,E,5,SF,Vacvit,2,0.0369,0.0094,3,1.503,
63,E5SF,E,5,SF,Pedlap,4.1,0.0543,0.015,4,2.792,
64,E5SF,E,5,SF,Pedlap,2.8,0.084,0.02,3,3.124,
65,E4SF,E,4,SF,Arcalp,6,0.141,0.0577,3,5.942,
66,E4SF,E,4,SF,Arcalp,5.6,0.2124,0.0797,4,9.557,
67,E4SF,E,4,SF,Arcalp,4.4,0.0871,0.0264,3,4.501,
68,E4SF,E,4,SF,Bisviv,8.8,0.3711,0.0914,2,11.382,
69,E4SF,E,4,SF,Bisviv,11.4,0.4246,0.1005,2,11.68,
70,E4SF,E,4,SF,Bisviv,8.4,0.2027,0.0505,2,6.783,
71,E4SF,E,4,SF,Fesovi,7.8,0.0459,0.0191,4,1.992,
72,E4SF,E,4,SF,Fesovi,10.3,0.0853,0.0359,6,3.808,
73,E4SF,E,4,SF,Fesovi,9.6,0.0413,0.0183,5,1.415,
74,E4SF,E,4,SF,Sallap,42,0.2665,0.1022,3,9.861,
75,E4SF,E,4,SF,Sallap,23,0.3541,0.1406,3,13.568,
76,E4SF,E,4,SF,Sallap,57,0.5179,0.201,3,17.968,
77,E4SF,E,4,SF,Callap,20,0.1123,0.0452,2,6.193,
78,E4SF,E,4,SF,Callap,18.2,0.0682,0.0284,3,3.21,
79,E4SF,E,4,SF,Callap,17.5,0.1584,0.0584,3,10.641,
80,E4SF,E,4,SF,Equpra,14.3,0.325,0.0913,1,11.374,
81,E4SF,E,4,SF,Equpra,7.5,0.1614,0.0452,1,5.33,
82,E4SF,E,4,SF,Equpra,11.5,0.2764,0.0766,1,6.593,
83,E4SF,E,4,SF,Carbig,13,0.2394,0.0883,3,11.633,
84,E4SF,E,4,SF,Carbig,14.5,0.2296,0.0875,3,10.856,
85,E4SF,E,4,SF,Carbig,17,0.1419,0.0484,3,9.286,
86,E4SF,E,4,SF,Pedlap,5.4,0.0871,0.024,2,3.246,
87,E4SF,E,4,SF,Pedlap,5,0.0777,0.0178,2,3.16,
88,E4SF,E,4,SF,Pedlap,3.7,0.1046,0.0258,3,4.545,
89,E4SF,E,4,SF,Dryoct,4.2,0.0507,0.0183,3,2.434,
90,X5C,X,5,C,Loipro,1.5,0.039,0.0201,10,0.854,
91,X5C,X,5,C,Loipro,0.7,0.0525,0.0264,10,1.184,
92,X5C,X,5,C,Loipro,0.6,0.0601,0.0326,10,1.385,
93,X5C,X,5,C,Dryoct,2.7,0.0678,0.0267,3,2.604,
94,X5C,X,5,C,Dryoct,1.9,0.07,0.0295,3,2.154,
95,X5C,X,5,C,Dryoct,3.1,0.0837,0.0329,3,2.663,
96,X5C,X,5,C,Dialap,2.5,0.0434,0.0243,9,0.709,
97,X5C,X,5,C,Dialap,1.4,0.0281,0.0117,10,0.56,
98,X5C,X,5,C,Dialap,1.7,0.0498,0.0149,10,0.971,
99,X5C,X,5,C,Rholap,1.9,0.0847,0.029,5,2.746,
100,X5C,X,5,C,Rholap,1.5,0.0462,0.0185,5,1.476,
101,X5C,X,5,C,Rholap,1,0.0276,0.0107,4,0.994,
102,X5SF,X,5,SF,Dryoct,2.8,0.0471,0.0184,4,1.436,
103,X5SF,X,5,SF,Dryoct,1.8,0.0362,0.0156,3,,
104,X5SF,X,5,SF,Dryoct,2.3,0.052,0.0201,3,1.501,
105,X5SF,X,5,SF,Loipro,1.8,0.0314,0.0193,10,0.873,
106,X5SF,X,5,SF,Loipro,1.7,0.0499,0.0261,10,1.163,
107,X5SF,X,5,SF,Loipro,0.8,0.053,0.0295,10,,
108,X5SF,X,5,SF,Juntri,4.6,0.0284,0.0108,2,1.04,
109,E4C,E,4,C,Andpol,3.2,0.0712,0.0321,6,1.844,
110,E4C,E,4,C,Andpol,4.7,0.0616,0.0183,6,1.965,
111,X5SF,X,5,SF,Dialap,1,0.0436,0.0206,10,0.836,
112,X5SF,X,5,SF,Dialap,0.8,0.0582,0.0274,10,0.913,
113,X5SF,X,5,SF,Dialap,0.5,0.0415,0.0195,10,0.804,
114,X5SF,X,5,SF,Rholap,1.2,0.0261,0.0108,3,0.811,
115,X5SF,X,5,SF,Rholap,1.4,0.0244,0.01,5,0.936,
116,E4C,E,4,C,Andpol,5.4,0.0959,0.0312,5,2.197,
117,E4C,E,4,C,Arcalp,3.1,0.0841,0.0256,3,3.52,
118,E4C,E,4,C,Arcalp,3.6,0.1358,0.0465,4,5.737,
119,E4C,E,4,C,Arcalp,7.5,0.1894,0.0614,3,6.609,
120,E4C,E,4,C,Astalp,5.8,0.1886,0.0356,2,9.51,
121,E4C,E,4,C,Astalp,6.3,0.0786,0.0172,1,4.558,
122,E4C,E,4,C,Astalp,5.6,0.098,0.0816,2,5.555,
123,E4C,E,4,C,Bisviv,9,0.4323,0.088,2,10.777,
124,E4C,E,4,C,Bisviv,7.7,0.2118,0.0538,2,6.254,
125,E4C,E,4,C,Bisviv,7.5,0.1001,0.0249,1,3.384,
126,E4C,E,4,C,Callap,12.6,0.0836,0.0295,3,5.057,
127,E4C,E,4,C,Callap,15.2,0.0884,0.0354,2,5.381,
128,E4C,E,4,C,Callap,20.5,0.0511,0.0179,2,2.918,
129,E4C,E,4,C,Carbig,9.4,0.1131,0.0383,3,6.221,
130,E4C,E,4,C,Carbig,9.5,0.125,0.0404,3,7.076,
131,E4C,E,4,C,Carbig,11.3,0.1413,0.0484,3,7.784,
132,E4C,E,4,C,Equsci,5.2,0.0594,0.0191,7,1.927,
133,E4C,E,4,C,Equsci,6.7,0.1443,0.0454,8,4.385,
134,E4C,E,4,C,Equsci,4.4,0.0617,0.0292,3,1.857,
135,E4C,E,4,C,Pedlap,6.6,0.1326,0.0343,3,5.101,
136,E4C,E,4,C,Pedlap,5.9,0.1077,0.0278,3,4.224,
137,E4C,E,4,C,Pedlap,5.1,0.1327,0.0362,2,5.005,
138,E3C,E,3,C,Equpra,12.4,0.2801,0.0766,1,9.653,
139,E3C,E,3,C,Equpra,13.6,0.4803,0.1304,1,16.676,
140,E3C,E,3,C,Equpra,12.6,0.2286,0.0589,1,7.374,
141,E3C,E,3,C,Callap,15.8,0.0374,0.014,3,2.815,
142,E3C,E,3,C,Callap,12.6,0.0636,0.0273,2,2.86,
143,E3C,E,3,C,Callap,17.6,0.0677,0.0277,2,4.006,
144,E3C,E,3,C,Vacvit,6.3,0.1304,0.0648,4,3.076,
145,E3C,E,3,C,Vacvit,10.2,0.1621,0.0672,6,4.427,
146,E3C,E,3,C,Vacvit,8.5,0.1043,0.0405,6,3.518,
147,E3C,E,3,C,Andpol,4.3,0.0413,0.0176,6,1.161,
148,E3C,E,3,C,Andpol,5.6,0.04487,0.0196,6,1.265,
149,E3C,E,3,C,Andpol,5.8,0.0641,0.0258,6,1.923,
150,E3C,E,3,C,Sallap,25,0.3461,0.1448,3,11.69,
151,E3C,E,3,C,Sallap,31,0.6224,0.2273,3,20.405,
152,E3C,E,3,C,Sallap,32,0.8722,0.3348,3,32.017,
153,E3C,E,3,C,Equsci,9.2,0.1036,0.0414,5,2.665,
154,E3C,E,3,C,Equsci,8.3,0.0977,0.0369,3,2.672,
155,E3C,E,3,C,Equsci,5.6,0.1041,0.04,4,2.825,
156,E3SF,E,3,SF,Callap,20.2,0.1175,0.0448,2,5.715,
157,E3SF,E,3,SF,Callap,18.2,0.1348,0.0535,4,8.262,
158,E3SF,E,3,SF,Callap,21.8,0.1026,0.041,2,5.669,
159,E3SF,E,3,SF,Carbig,7.6,0.1331,0.0453,6,7.256,
160,E3SF,E,3,SF,Carbig,6.3,0.0552,0.0178,3,3.082,
161,E3SF,E,3,SF,Carbig,13.2,0.1527,0.0533,3,7.748,
162,E3SF,E,3,SF,Arcalp,3.8,0.1963,0.0821,3,6.915,
163,E3SF,E,3,SF,Arcalp,4.8,0.1487,0.0525,3,7.136,
164,E3SF,E,3,SF,Arcalp,6.8,0.1559,0.0537,3,7.89,
165,E3SF,E,3,SF,Vacvit,4.5,0.0708,0.0265,4,2.563,
166,E3SF,E,3,SF,Vacvit,4.7,0.0752,0.0283,4,2.652,
167,E3SF,E,3,SF,Vacvit,5,0.07,0.0277,4,2.301,
168,E2C,E,2,C,Arcalp,3.5,0.1714,0.0652,4,7.166,
169,E2C,E,2,C,Arcalp,5,0.1,0.04,3,4.437,
170,E2C,E,2,C,Arcalp,3.4,0.0964,0.0332,3,4.272,
171,E2C,E,2,C,Rubcha,4.9,0.2301,0.0743,1,8.4,
172,E2C,E,2,C,Rubcha,2.3,0.0746,0.0242,1,3.177,
173,E2C,E,2,C,Rubcha,2.2,0.09,0.0303,1,3.746,
174,E2C,E,2,C,Callap,20.2,0.1084,0.0433,2,5.043,
175,E2C,E,2,C,Callap,26.6,0.2208,0.094,3,11.589,
176,E2C,E,2,C,Callap,18.6,0.0581,0.0219,2,2.985,
177,E2C,E,2,C,Vacvit,5.8,0.102,0.048,5,3.013,
178,E2C,E,2,C,Vacvit,4.4,0.0638,0.0313,3,1.817,
179,E2C,E,2,C,Vacvit,3.6,0.0833,0.0373,6,2.845,
180,E2C,E,2,C,Sallap,16.6,0.2745,0.112,3,10.006,
181,E2C,E,2,C,Sallap,25.6,0.3717,0.146,3,13.8,
182,E2C,E,2,C,Sallap,17.4,0.4889,0.1883,3,18.284,
183,E2C,E,2,C,Linbor,1,0.0446,0.0155,8,2.314,
184,E2C,E,2,C,Linbor,1.1,0.0446,0.0161,7,2.334,
185,E2C,E,2,C,Linbor,1.6,0.0439,0.0155,6,2.155,
186,E2C,E,2,C,Equpra,10.3,0.1171,0.0314,1,3.704,
187,E2C,E,2,C,Equpra,14,0.3568,0.0988,1,11.523,
188,E2C,E,2,C,Equpra,13.6,0.2854,0.0261,1,7.806,
189,E2C,E,2,C,Carbig,7.8,0.0668,0.026,3,3.681,
190,E2C,E,2,C,Carbig,9.6,0.1645,0.0584,3,8.087,
191,E2C,E,2,C,Carbig,10.2,0.106,0.0364,3,5.969,
192,E2SF,E,2,SF,Callap,18.6,0.081,0.0277,2,4.824,
193,E2SF,E,2,SF,Callap,15.2,0.114,0.0433,2,6.453,
194,E2SF,E,2,SF,Callap,19.3,0.1223,0.0482,2,6.161,
195,E2SF,E,2,SF,Vacvit,3.6,0.1322,0.0664,4,3.436,
196,E2SF,E,2,SF,Vacvit,7.1,0.1546,0.0724,6,4.649,
197,E2SF,E,2,SF,Vacvit,2.8,0.0898,0.0338,6,2.958,
198,E2SF,E,2,SF,Arcalp,3.8,0.1137,0.0456,3,4.495,
199,E2SF,E,2,SF,Arcalp,4.1,0.1115,0.0477,3,5.106,
200,E2SF,E,2,SF,Arcalp,4.2,0.1315,0.0535,3,5.698,
201,E2SF,E,2,SF,Sallap,24,0.3028,0.1178,3,13.078,
202,E2SF,E,2,SF,Sallap,22.8,0.4046,0.1564,3,16.269,
203,E2SF,E,2,SF,Sallap,23.8,0.3867,0.1494,3,15.705,
204,X2SF,X,2,SF,Dryoct,2,0.103,0.054,3,3.857,
205,X2SF,X,2,SF,Dryoct,3.4,0.1256,0.0432,3,3.373,
206,X2SF,X,2,SF,Dryoct,3,0.073,0.0292,3,2.414,
207,X2SF,X,2,SF,Loipro,0.8,0.064,0.0323,15,1.529,
208,X2SF,X,2,SF,Loipro,1.1,0.0837,0.0432,15,1.813,
209,X2SF,X,2,SF,Loipro,0.6,0.0537,0.0288,15,1.323,
210,X2C,X,2,C,Dryoct,3.4,0.0873,0.0381,3,2.86,
211,X2C,X,2,C,Dryoct,1.8,0.0661,0.0384,3,2.048,
212,X2C,X,2,C,Dryoct,2.6,0.1036,0.0445,3,3.147,
213,X2C,X,2,C,Loipro,0.5,0.0494,0.0251,15,1.062,scan cut
214,X2C,X,2,C,Loipro,0.4,0.0625,0.0305,15,0.999,scan cut
215,X2C,X,2,C,Loipro,0.6,0.0699,0.033,15,1.573,
216,X2C,X,2,C,Juntri,13.3,0.3032,0.1142,8,4.946,initially 9 leaves; scan cut
217,X2C,X,2,C,Juntri,9.6,0.2049,0.0765,6,4.37,scan cut
218,X2C,X,2,C,Juntri,12.4,0.1682,0.0622,4,3.383,scan cut
219,X2C,X,2,C,Pinvul,0.3,0.0882,0.0076,3,1.806,
220,X2C,X,2,C,Pinvul,0.2,0.1106,0.0146,3,2.187,
221,X2C,X,2,C,Pinvul,0.3,0.2082,0.0197,3,4.649,
222,E1C,E,1,C,Vacvit,2.8,0.1631,0.0661,6,4.531,
223,E1C,E,1,C,Vacvit,3.2,0.0866,0.0322,4,2.937,
224,E1C,E,1,C,Vacvit,2.5,0.1016,0.0448,6,2.897,
225,E1C,E,1,C,Arcalp,3.3,0.104,0.0446,3,3.876,
226,E1C,E,1,C,Arcalp,4.3,0.0615,0.0241,3,2.421,
227,E1C,E,1,C,Arcalp,3,0.1224,0.0494,3,4.542,
228,E1C,E,1,C,Callap,13.2,0.0492,0.0187,3,3.208,
229,E1C,E,1,C,Callap,12.6,0.0446,0.0167,3,2.38,
230,E1C,E,1,C,Callap,12.6,0.058,0.0234,4,2.98,
231,E1C,E,1,C,Carbig,4.9,0.0381,0.0136,3,2.037,
232,E1C,E,1,C,Carbig,7.3,0.0679,0.0241,3,3.703,
233,E1C,E,1,C,Carbig,5.4,0.0832,0.0302,3,4.56,
234,E1C,E,1,C,Fesovi,8.1,0.0436,0.0198,6,1.482,
235,E1C,E,1,C,Fesovi,10.5,0.0419,0.0173,6,1.611,
236,E1C,E,1,C,Fesovi,6.8,0.0323,0.0138,7,1.082,
237,E1C,E,1,C,Bisviv,7.3,0.1732,0.0448,2,6.21,
238,E1C,E,1,C,Bisviv,8.6,0.1506,0.0353,2,4.775,
239,E1C,E,1,C,Bisviv,7.3,0.1441,0.035,2,4.655,
240,E1SF,E,1,SF,Astalp,3.1,0.1841,0.0517,3,7.699,
241,E1SF,E,1,SF,Astalp,7.8,0.1063,0.0238,3,5.356,
242,E1SF,E,1,SF,Astalp,6.8,0.2131,0.0551,3,9.339,
243,E1SF,E,1,SF,Callap,17.9,0.0585,0.0223,2,3.383,
244,E1SF,E,1,SF,Callap,22.4,0.0865,0.0367,2,5.364,
245,E1SF,E,1,SF,Callap,22.3,0.1666,0.0707,4,9.26,
246,E1SF,E,1,SF,Fesovi,9,0.0539,0.0253,5,2.014,
247,E1SF,E,1,SF,Fesovi,9.6,0.031,0.0141,5,1.224,
248,E1SF,E,1,SF,Fesovi,5,0.0313,0.0141,5,1.278,
249,E1SF,E,1,SF,Salarb,9.1,0.1709,0.0616,3,8.513,
250,E1SF,E,1,SF,Salarb,15.4,0.2228,0.0791,3,11.042,
251,E1SF,E,1,SF,Salarb,21.1,0.2888,0.0982,3,14.595,
252,E1SF,E,1,SF,Vacvit,6.8,0.1036,0.0469,6,3.684,
253,E1SF,E,1,SF,Vacvit,6,0.099,0.0508,5,2.862,
254,E1SF,E,1,SF,Vacvit,11.2,0.1096,0.0465,6,4.257,
255,E1SF,E,1,SF,Arcalp,5.2,0.1037,0.0372,3,4.351,
256,E1SF,E,1,SF,Arcalp,4.7,0.113,0.0422,3,5.144,
257,E1SF,E,1,SF,Arcalp,4.9,0.1286,0.0468,3,5.741,
258,E1SF,E,1,SF,Saualp,5.6,0.4077,0.0969,2,10.308,
259,E1SF,E,1,SF,Saualp,7.3,0.5238,0.1223,2,13.827,
260,E1SF,E,1,SF,Saualp,3.8,0.2766,0.0552,2,7.866,
261,E1SF,E,1,SF,Carbig,4.5,0.0818,0.0307,4,4.458,
262,E1SF,E,1,SF,Carbig,6,0.0742,0.0255,3,3.657,
263,E1SF,E,1,SF,Carbig,7.6,0.154,0.0528,3,7.557,
264,E1SF,E,1,SF,Pedlap,3.7,0.1119,0.0327,3,3.871,
265,E1SF,E,1,SF,Pedlap,3.2,0.1655,0.463,4,5.378,
266,E1SF,E,1,SF,Pedlap,3.4,0.1131,0.0305,3,4.094,
267,E1SF,E,1,SF,Thaalp,6.2,0.132,0.0426,3,6.257,
268,E1SF,E,1,SF,Thaalp,7.5,0.1016,0.0344,1,3.539,
269,E1SF,E,1,SF,Thaalp,7.7,0.1419,0.0495,2,6.466,
270,X1C,X,1,C,Arcalp,2.5,0.0631,0.0288,3,2.905,
271,X1C,X,1,C,Arcalp,3,0.0946,0.0387,3,3.839,
272,X1C,X,1,C,Arcalp,3.8,0.0946,0.0872,3,,
273,X1C,X,1,C,Vacvit,2.8,0.0432,0.02,5,1.49,
274,X1C,X,1,C,Vacvit,2.6,0.0588,0.0272,6,1.822,
275,X1C,X,1,C,Vacvit,3,0.0993,0.0459,6,3.189,
276,X1C,X,1,C,Loipro,1.1,0.0782,0.0372,14,1.602,initial number 15
277,X1C,X,1,C,Loipro,0.8,0.0514,0.0283,15,1.195,
278,X1C,X,1,C,Loipro,0.7,0.0478,0.0255,15,1.152,
279,X1C,X,1,C,Dialap,0.8,0.0671,0.0309,15,1.128,
280,X1C,X,1,C,Dialap,1.2,0.0846,0.0381,15,1.736,
281,X1C,X,1,C,Dialap,0.6,0.0663,0.0299,15,1.309,
282,X1SF,X,1,SF,Vacvit,4.4,0.0824,0.0386,6,2.593,
283,X1SF,X,1,SF,Vacvit,2.5,0.089,0.0426,6,2.764,
284,X1SF,X,1,SF,Vacvit,3.6,0.0691,0.03,4,2.236,
285,X1SF,X,1,SF,Loipro,2.3,0.0669,0.0342,15,1.716,
286,X1SF,X,1,SF,Loipro,0.8,0.0855,0.0456,15,1.682,
287,X1SF,X,1,SF,Loipro,1.2,0.0675,0.0349,15,1.582,
288,X1SF,X,1,SF,Juntri,11.5,0.2731,0.0988,8,8.673,
289,X1SF,X,1,SF,Juntri,9,0.0962,0.0362,5,3.445,
290,X1SF,X,1,SF,Juntri,8.1,0.0742,0.0263,6,3.153,
291,D3SF,D,3,SF,Andpol,3.3,0.0352,0.0161,6,0.98,
292,D3SF,D,3,SF,Andpol,5.9,0.0292,0.0113,5,1.002,
293,D3SF,D,3,SF,Andpol,3.6,0.0665,0.0302,7,1.801,
294,D3SF,D,3,SF,Sallap,25.4,0.408,0.1736,4,15.981,
295,D3SF,D,3,SF,Sallap,12.9,0.1396,0.0603,3,5.708,
296,D3SF,D,3,SF,Sallap,13.3,0.1649,0.0727,3,6.516,
297,D3SF,D,3,SF,Bisviv,8.1,0.1782,0.0411,2,4.923,
298,D3SF,D,3,SF,Bisviv,7.4,0.0879,0.0223,2,2.647,
299,D3SF,D,3,SF,Bisviv,8.5,0.0702,0.0173,1,2.163,
300,D3SF,D,3,SF,Carbig,10.1,0.1145,0.0435,3,7.179,
301,D3SF,D,3,SF,Carbig,8.2,0.039,0.0155,2,2.574,
302,D3SF,D,3,SF,Carbig,8.7,0.0804,0.0295,3,4.674,
303,D3SF,D,3,SF,Cardio,4.5,0.0099,0.003,3,0.392,
304,D3SF,D,3,SF,Cardio,3.9,0.021,0.0086,3,0.876,
305,D3SF,D,3,SF,Cardio,5.8,0.0265,0.069,3,0.786,
306,D3SF,D,3,SF,Carvag,7.5,0.1424,0.0458,5,6.81,
307,D3SF,D,3,SF,Carvag,8,0.0726,0.0237,3,4.283,
308,D3SF,D,3,SF,Carvag,10.1,0.1089,0.0381,4,6.473,
309,D3SF,D,3,SF,Baralp,9,0.1012,0.0307,5,3.95,
310,D3SF,D,3,SF,Baralp,10.7,0.2276,0.0728,6,8.746,
311,D3SF,D,3,SF,Baralp,5.2,0.0426,0.0153,6,1.957,
312,D3SF,D,3,SF,Tofpus,2.3,0.0303,0.0066,5,1.216,
313,D3SF,D,3,SF,Tofpus,1.6,0.0274,0.0076,4,1.004,
314,D3SF,D,3,SF,Tofpus,3.2,0.0587,0.0185,5,2.322,
315,D3SF,D,3,SF,Rholap,6.9,0.0394,0.0336,6,2.812,
316,D3SF,D,3,SF,Rholap,3.8,0.0349,0.0141,5,1.302,
317,D3SF,D,3,SF,Rholap,5.5,0.0477,0.0152,4,1.234,
318,D3SF,D,3,SF,Trices,15.2,0.2225,0.0779,7,6.92,
319,D3SF,D,3,SF,Trices,11.6,0.1602,0.0692,6,4.751,
320,D3SF,D,3,SF,Trices,11.3,0.1834,0.0692,7,5.244,
321,D3SF,D,3,SF,Erivag,6,0.0466,0.0162,4,1.458,
322,D3SF,D,3,SF,Erivag,12.9,0.0398,0.0116,1,0.991,
323,D3SF,D,3,SF,Erivag,9.6,0.0688,0.025,2,2.009,
324,D3SF,D,3,SF,Pinvul,0.6,0.0507,0.0043,3,2.019,
325,D3SF,D,3,SF,Pinvul,0.5,0.065,0.0042,3,2.55,
326,D3SF,D,3,SF,Pinvul,0.8,0.0727,0.0076,3,,scan missing
327,D3SF,D,3,SF,Castet,0.4,0.0326,0.0165,15,1.079,
328,D3SF,D,3,SF,Equsci,1,0.0446,0.0198,6,2.018,
329,D3SF,D,3,SF,Equsci,2.4,0.0579,0.0217,5,1.762,
330,D3SF,D,3,SF,Equsci,3.1,0.0368,0.015,4,1.465,
331,D3C,D,3,C,Trices,8.9,0.0758,0.0269,4,3.553,
332,D3C,D,3,C,Trices,11.4,0.1077,0.0409,5,3.405,
333,D3C,D,3,C,Trices,14.3,0.1504,0.0586,5,4.42,
334,D3C,D,3,C,Carbig,5.7,0.0779,0.0265,3,5.586,
335,D3C,D,3,C,Carbig,7.1,0.0728,0.0288,3,5.908,
336,D3C,D,3,C,Carbig,7,0.0932,0.0265,2,3.883,initially 3
337,D3C,D,3,C,Cardio,3,0.0183,0.0059,4,0.89,
338,D3C,D,3,C,Cardio,5.5,0.033,0.0114,4,1.453,
339,D3C,D,3,C,Cardio,2.6,0.0202,0.0074,4,0.924,
340,D3C,D,3,C,Hupsel,5.5,0.012,0.0051,20,0.588,
341,D3C,D,3,C,Hupsel,4.6,0.013,0.0056,20,0.612,
342,D3C,D,3,C,Hupsel,4.8,0.0102,0.0042,20,0.572,
343,D3C,D,3,C,Baralp,7.4,0.1162,0.0393,5,4.424,
344,D3C,D,3,C,Baralp,4.6,0.0376,0.0121,5,2.58,
345,D3C,D,3,C,Baralp,9.3,0.0879,0.0272,4,4.515,
346,D3C,D,3,C,Tofpus,1.5,0.0253,0.0087,6,1.705,
347,D3C,D,3,C,Tofpus,1.7,0.0294,0.0094,6,1.896,
348,D3C,D,3,C,Tofpus,1.7,0.0316,0.0112,5,1.822,
349,D3C,D,3,C,Rubcha,2.6,0.0895,0.0319,1,3.749,
350,D3C,D,3,C,Rubcha,3.3,0.0961,0.0326,1,3.838,
351,D3C,D,3,C,Rubcha,2.1,0.0666,0.0218,1,2.908,
352,D3C,D,3,C,Andpol,4.9,0.0256,0.0108,6,0.806,
353,D3C,D,3,C,Andpol,5.1,0.1004,0.0408,6,2.655,
354,D3C,D,3,C,Andpol,6.2,0.0659,0.0312,6,1.647,
355,D3C,D,3,C,Bisviv,6.2,0.2306,0.0619,2,7.067,
356,D3C,D,3,C,Bisviv,5.1,0.1217,0.0273,2,4.926,
